movies,categories,run_time,screen_time,n_movies
9820,13,"[24, 56]","[24, 26]","[12, 13]"
2620,36,"[40, 48]","[26, 26]","[12, 12]"
3070,15,"[57, 71]","[24, 24]","[14, 14]"
100,23,"[11, 13]","[25, 25]","[11, 11]"
6220,50,"[85, 97]","[26, 26]","[11, 11]"
1630,13,"[44, 51]","[24, 24]","[12, 12]"
8380,38,"[75, 86]","[26, 26]","[12, 12]"
6220,44,"[87, 100]","[24, 24]","[13, 13]"
730,3,"[8, 18]","[17, 17]","[9, 9]"
100,37,"[11, 12]","[20, 26]","[9, 10]"
1810,7,"[45, 53]","[27, 27]","[12, 12]"
2620,22,"[44, 53]","[25, 25]","[13, 13]"
280,7,"[17, 20]","[22, 22]","[9, 9]"
1450,39,"[54, 56]","[27, 27]","[14, 14]"
2350,40,"[82, 93]","[25, 26]","[11, 14]"
5230,49,"[133, 159]","[24, 24]","[11, 11]"
1450,11,"[19, 27]","[26, 26]","[14, 14]"
4690,2,"[1, 9]","[8, 8]","[3, 3]"
2440,34,"[43, 91]","[24, 24]","[12, 14]"
6850,6,"[57, 70]","[24, 24]","[10, 10]"
3070,29,"[29, 39]","[26, 26]","[11, 11]"
8470,4,"[76, 86]","[24, 24]","[13, 13]"
5320,6,"[42, 55]","[26, 27]","[12, 14]"
8380,10,"[121, 134]","[26, 26]","[15, 15]"
2440,20,"[78, 84]","[25, 25]","[12, 12]"
6040,46,"[74, 88]","[24, 26]","[14, 15]"
4600,40,"[105, 114]","[25, 25]","[13, 13]"
9370,35,"[240, 254]","[27, 27]","[14, 14]"
2080,18,"[62, 73]","[27, 27]","[11, 11]"
8740,28,"[58, 153]","[24, 28]","[12, 12]"
5860,47,"[43, 53]","[24, 24]","[13, 13]"
5410,3,"[14, 24]","[20, 20]","[11, 11]"
3700,18,"[29, 55]","[25, 26]","[10, 12]"
1810,43,"[25, 33]","[26, 26]","[13, 13]"
1090,29,"[19, 29]","[26, 26]","[11, 11]"
9370,21,"[71, 76]","[25, 25]","[13, 13]"
550,7,"[28, 38]","[25, 25]","[10, 10]"
2080,24,"[44, 57]","[25, 26]","[15, 15]"
9010,23,"[59, 74]","[25, 25]","[13, 13]"
8740,14,"[104, 111]","[26, 26]","[12, 12]"
7930,21,"[37, 298]","[24, 26]","[11, 14]"
7210,1,"[1, 9]","[4, 4]","[2, 2]"
7300,42,"[47, 61]","[24, 24]","[12, 12]"
3700,24,"[46, 97]","[25, 25]","[13, 14]"
1090,15,"[37, 38]","[24, 24]","[17, 17]"
9460,41,"[53, 60]","[26, 26]","[16, 16]"
3700,30,"[53, 62]","[27, 27]","[13, 13]"
7930,35,"[22, 117]","[25, 26]","[12, 13]"
10,49,"[3, 8]","[14, 14]","[5, 5]"
4960,1,"[1, 6]","[1, 1]","[1, 1]"
6580,42,"[84, 98]","[28, 28]","[13, 13]"
820,5,"[23, 39]","[24, 25]","[12, 14]"
5140,2,"[3, 15]","[13, 13]","[7, 7]"
9010,37,"[75, 92]","[25, 25]","[15, 15]"
2080,30,"[36, 45]","[26, 26]","[12, 12]"
1540,28,"[19, 49]","[26, 26]","[12, 13]"
460,50,"[29, 31]","[23, 23]","[12, 12]"
1720,16,"[39, 48]","[26, 26]","[15, 15]"
7840,49,"[69, 85]","[26, 26]","[11, 11]"
5680,25,"[79, 88]","[25, 27]","[14, 14]"
8020,34,"[68, 79]","[26, 26]","[12, 12]"
3160,10,"[40, 51]","[26, 26]","[12, 12]"
5680,31,"[55, 67]","[25, 25]","[12, 12]"
8020,20,"[107, 140]","[25, 26]","[11, 13]"
5770,2,"[7, 17]","[12, 12]","[5, 5]"
8290,29,"[88, 107]","[26, 26]","[12, 12]"
2260,2,"[7, 17]","[18, 18]","[7, 7]"
370,18,"[9, 9]","[26, 26]","[14, 14]"
