movies,categories,run_time,screen_time,n_movies
9820,13,"[124, 124]","[24, 24]","[24, 24]"
2620,36,"[54, 54]","[24, 24]","[24, 24]"
3070,15,"[48, 48]","[24, 24]","[24, 24]"
100,23,"[11, 11]","[23, 23]","[13, 13]"
6220,50,"[112, 112]","[24, 24]","[24, 24]"
1630,13,"[33, 33]","[24, 24]","[23, 23]"
8380,38,"[147, 147]","[24, 24]","[24, 24]"
6220,44,"[110, 110]","[24, 24]","[24, 24]"
730,3,"[9, 9]","[12, 12]","[9, 9]"
100,37,"[8, 8]","[22, 22]","[12, 12]"
1810,7,"[21, 21]","[24, 24]","[24, 24]"
2620,22,"[51, 51]","[24, 24]","[24, 24]"
280,7,"[5, 5]","[25, 25]","[16, 16]"
1450,39,"[29, 29]","[24, 24]","[24, 24]"
2350,40,"[55, 55]","[24, 24]","[24, 24]"
5230,49,"[86, 86]","[24, 24]","[24, 24]"
1450,11,"[29, 29]","[24, 24]","[23, 23]"
4690,2,"[7, 7]","[3, 3]","[3, 3]"
2440,34,"[40, 40]","[24, 24]","[23, 23]"
6850,6,"[62, 62]","[24, 24]","[24, 24]"
3070,29,"[57, 57]","[24, 24]","[24, 24]"
8470,4,"[58, 58]","[17, 17]","[17, 17]"
5320,6,"[60, 60]","[24, 24]","[24, 24]"
8380,10,"[101, 101]","[24, 24]","[24, 24]"
2440,20,"[46, 46]","[24, 24]","[24, 24]"
6040,46,"[108, 108]","[24, 24]","[24, 24]"
4600,40,"[94, 94]","[24, 24]","[24, 24]"
9370,35,"[171, 171]","[24, 24]","[24, 24]"
2080,18,"[31, 31]","[24, 24]","[24, 24]"
8740,28,"[141, 141]","[24, 24]","[24, 24]"
5860,47,"[117, 117]","[24, 24]","[24, 24]"
5410,3,"[25, 25]","[11, 11]","[11, 11]"
3700,18,"[68, 68]","[24, 24]","[24, 24]"
1810,43,"[35, 35]","[25, 25]","[24, 24]"
1090,29,"[21, 21]","[24, 24]","[24, 24]"
9370,21,"[136, 136]","[24, 24]","[24, 24]"
550,7,"[14, 14]","[24, 24]","[19, 19]"
2080,24,"[41, 41]","[24, 24]","[24, 24]"
9010,23,"[133, 133]","[24, 24]","[24, 24]"
8740,14,"[110, 110]","[24, 24]","[24, 24]"
7930,21,"[118, 118]","[24, 24]","[24, 24]"
7210,1,"[5, 5]","[2, 2]","[2, 2]"
7300,42,"[119, 119]","[24, 24]","[24, 24]"
3700,24,"[65, 65]","[24, 24]","[24, 24]"
1090,15,"[23, 23]","[24, 24]","[23, 23]"
9460,41,"[174, 174]","[24, 24]","[24, 24]"
3700,30,"[67, 67]","[24, 24]","[24, 24]"
7930,35,"[121, 121]","[24, 24]","[24, 24]"
10,49,"[6, 6]","[13, 13]","[5, 5]"
4960,1,"[2, 2]","[1, 1]","[1, 1]"
6580,42,"[129, 129]","[24, 24]","[24, 24]"
820,5,"[21, 21]","[24, 24]","[23, 23]"
5140,2,"[6, 6]","[7, 7]","[7, 7]"
9010,37,"[142, 142]","[24, 24]","[24, 24]"
2080,30,"[44, 44]","[24, 24]","[24, 24]"
1540,28,"[41, 41]","[24, 24]","[24, 24]"
460,50,"[12, 12]","[24, 24]","[20, 20]"
1720,16,"[27, 27]","[24, 24]","[24, 24]"
7840,49,"[149, 149]","[24, 24]","[24, 24]"
5680,25,"[92, 92]","[24, 24]","[24, 24]"
8020,34,"[117, 117]","[24, 24]","[24, 24]"
3160,10,"[39, 39]","[24, 24]","[24, 24]"
5680,31,"[83, 83]","[24, 24]","[24, 24]"
8020,20,"[126, 126]","[24, 24]","[24, 24]"
5770,2,"[15, 15]","[5, 5]","[5, 5]"
8290,29,"[134, 134]","[24, 24]","[24, 24]"
2260,2,"[10, 10]","[7, 7]","[7, 7]"
370,18,"[17, 17]","[24, 24]","[17, 17]"
460,44,"[21, 21]","[24, 24]","[19, 19]"
1540,14,"[33, 33]","[24, 24]","[23, 23]"
5680,19,"[87, 87]","[24, 24]","[24, 24]"
370,30,"[9, 9]","[24, 24]","[17, 17]"
8290,15,"[97, 97]","[24, 24]","[24, 24]"
370,24,"[19, 19]","[25, 25]","[19, 19]"
3160,38,"[68, 68]","[24, 24]","[24, 24]"
4510,6,"[44, 44]","[24, 24]","[24, 24]"
1180,38,"[32, 32]","[24, 24]","[22, 22]"
