movies,categories,run_time,screen_time,n_movies
25,1,"[5, 6]","[0, 0]","[4, 4]"
5,3,"[7, 8]","[0, 0]","[3, 3]"
13,9,"[7, 118]","[0, 0]","[6, 6]"
10,3,"[8, 9]","[0, 0]","[4, 4]"
3,10,"[5, 6]","[0, 0]","[3, 3]"
12,3,"[7, 9]","[0, 0]","[4, 4]"
4,7,"[5, 9]","[0, 0]","[3, 3]"
1,6,"[4, 5]","[0, 0]","[0, 0]"
17,6,"[8, 9]","[0, 0]","[6, 6]"
10,5,"[7, 8]","[0, 0]","[5, 5]"
10,4,"[7, 81]","[0, 0]","[5, 5]"
21,1,"[2, 2]","[0, 0]","[1, 1]"
15,7,"[8, 8]","[0, 0]","[6, 6]"
20,10,"[9, 11]","[0, 0]","[8, 8]"
15,3,"[7, 8]","[0, 0]","[5, 5]"
19,10,"[9, 10]","[0, 0]","[7, 7]"
2,3,"[5, 5]","[0, 0]","[1, 1]"
8,4,"[6, 35]","[0, 0]","[4, 4]"
11,9,"[7, 8]","[0, 0]","[4, 4]"
11,1,"[5, 40]","[0, 0]","[1, 1]"
25,6,"[9, 10]","[0, 0]","[7, 7]"
21,3,"[9, 22]","[0, 0]","[7, 7]"
17,1,"[5, 810]","[0, 0]","[3, 3]"
24,8,"[10, 11]","[0, 0]","[7, 7]"
7,3,"[7, 9]","[0, 0]","[3, 3]"
16,4,"[7, 9]","[0, 0]","[6, 7]"
21,4,"[9, 10]","[0, 0]","[9, 9]"
20,4,"[8, 9]","[0, 0]","[6, 6]"
11,10,"[7, 10]","[0, 0]","[5, 5]"
9,10,"[6, 10]","[0, 0]","[3, 3]"
23,3,"[9, 10]","[0, 0]","[6, 6]"
25,8,"[10, 11]","[0, 0]","[7, 7]"
24,1,"[6, 6]","[0, 0]","[4, 4]"
21,9,"[9, 31]","[0, 0]","[5, 5]"
24,5,"[9, 10]","[0, 0]","[6, 6]"
24,2,"[8, 9]","[0, 0]","[6, 6]"
8,6,"[7, 7]","[0, 0]","[4, 4]"
6,3,"[6, 8]","[0, 0]","[2, 2]"
24,6,"[10, 12]","[0, 0]","[6, 6]"
23,8,"[10, 31]","[0, 0]","[7, 7]"
14,6,"[7, 8]","[0, 0]","[5, 5]"
10,7,"[7, 9]","[0, 0]","[5, 6]"
11,7,"[6, 7]","[0, 0]","[4, 4]"
4,4,"[6, 7]","[0, 0]","[2, 2]"
14,2,"[5, 6]","[0, 0]","[3, 3]"
24,4,"[8, 10]","[0, 0]","[5, 5]"
1,5,"[4, 5]","[0, 0]","[0, 0]"
18,2,"[6, 7]","[0, 0]","[5, 5]"
22,8,"[10, 11]","[0, 0]","[8, 8]"
11,4,"[6, 7]","[0, 0]","[5, 5]"
6,2,"[8, 9]","[0, 0]","[4, 4]"
18,10,"[8, 12]","[0, 0]","[5, 5]"
13,8,"[7, 7]","[0, 0]","[4, 4]"
22,10,"[9, 10]","[0, 0]","[6, 6]"
14,4,"[8, 11]","[0, 0]","[7, 7]"
12,8,"[8, 15]","[0, 0]","[6, 6]"
10,2,"[9, 9]","[0, 0]","[6, 6]"
24,9,"[9, 10]","[0, 0]","[7, 7]"
14,7,"[8, 8]","[0, 0]","[5, 5]"
18,1,"[2, 4]","[0, 0]","[1, 1]"
19,7,"[10, 11]","[0, 0]","[7, 7]"
13,5,"[8, 10]","[0, 0]","[6, 6]"
22,5,"[10, 10]","[0, 0]","[7, 7]"
8,9,"[6, 6]","[0, 0]","[4, 4]"
1,8,"[2, 2]","[0, 0]","[0, 0]"
9,7,"[7, 8]","[0, 0]","[5, 5]"
12,5,"[7, 8]","[0, 0]","[5, 5]"
22,1,"[4, 5]","[0, 0]","[4, 4]"
11,5,"[6, 1450]","[0, 0]","[4, 4]"
9,4,"[6, 7]","[0, 0]","[4, 4]"
18,5,"[8, 37]","[0, 0]","[8, 8]"
7,5,"[5, 8]","[0, 0]","[4, 4]"
7,8,"[5, 16]","[0, 0]","[5, 5]"
4,1,"[6, 6]","[0, 0]","[2, 2]"
16,5,"[7, 10]","[0, 0]","[6, 6]"
4,3,"[6, 38]","[0, 0]","[2, 2]"
11,8,"[6, 7]","[0, 0]","[5, 5]"
23,7,"[8, 9]","[0, 0]","[7, 7]"
8,8,"[6, 6]","[0, 0]","[5, 5]"
6,10,"[5, 6]","[0, 0]","[4, 4]"
2,7,"[3, 3]","[0, 0]","[1, 1]"
5,8,"[5, 5]","[0, 0]","[3, 3]"
4,5,"[6, 6]","[0, 0]","[2, 2]"
18,7,"[8, 9]","[0, 0]","[6, 6]"
19,1,"[2, 3]","[0, 0]","[1, 1]"
2,1,"[5, 5]","[0, 0]","[1, 1]"
3,9,"[4, 7]","[0, 0]","[2, 2]"
17,9,"[7, 7]","[0, 0]","[5, 5]"
16,6,"[7, 10]","[0, 0]","[6, 6]"
15,5,"[6, 8]","[0, 0]","[5, 5]"
25,7,"[9, 11]","[0, 0]","[8, 8]"
12,7,"[6, 7]","[0, 0]","[6, 6]"
21,10,"[8, 9]","[0, 0]","[6, 6]"
4,10,"[4, 9]","[0, 0]","[2, 2]"
15,9,"[6, 7]","[0, 0]","[5, 5]"
5,6,"[5, 5]","[0, 0]","[4, 4]"
2,5,"[5, 6]","[0, 0]","[1, 1]"
14,1,"[4, 7]","[0, 0]","[1, 1]"
15,1,"[4, 5]","[0, 0]","[1, 1]"
23,1,"[3, 4]","[0, 0]","[2, 2]"
12,2,"[9, 10]","[0, 0]","[5, 5]"
3,6,"[4, 4]","[0, 0]","[2, 2]"
13,10,"[6, 8]","[0, 0]","[6, 6]"
11,3,"[6, 6]","[0, 0]","[5, 5]"
20,9,"[9, 9]","[0, 0]","[7, 7]"
12,1,"[4, 14]","[0, 0]","[1, 1]"
5,10,"[5, 5]","[0, 0]","[3, 3]"
1,10,"[2, 2]","[0, 0]","[0, 0]"
22,6,"[9, 319]","[0, 0]","[9, 9]"
13,4,"[6, 6]","[0, 0]","[5, 5]"
6,5,"[4, 98]","[0, 0]","[3, 3]"
17,8,"[7, 8]","[0, 0]","[7, 7]"
3,1,"[5, 8]","[0, 0]","[2, 2]"
2,8,"[3, 3]","[0, 0]","[1, 1]"
12,9,"[7, 10]","[0, 0]","[5, 5]"
14,9,"[8, 9]","[0, 0]","[5, 5]"
6,6,"[5, 6]","[0, 0]","[3, 3]"
19,8,"[7, 19]","[0, 0]","[6, 8]"
1,2,"[2, 2]","[0, 0]","[0, 0]"
2,10,"[3, 3]","[0, 0]","[1, 1]"
15,6,"[7, 8]","[0, 0]","[7, 7]"
7,4,"[7, 9]","[0, 0]","[4, 4]"
16,10,"[8, 11]","[0, 0]","[6, 6]"
5,7,"[4, 5]","[0, 0]","[2, 2]"
15,8,"[6, 6]","[0, 0]","[4, 4]"
7,10,"[5, 57]","[0, 0]","[3, 3]"
22,3,"[7, 8]","[0, 0]","[7, 7]"
10,6,"[6, 7]","[0, 0]","[5, 5]"
12,6,"[6, 7]","[0, 0]","[5, 5]"
16,9,"[7, 8]","[0, 0]","[6, 6]"
22,7,"[10, 13]","[0, 0]","[8, 8]"
