movies,categories,run_time,screen_time,n_movies
22,10,"[1222390, 1222390]","[0, 0]","[6, 6]"
13,2,"[1701, 1701]","[0, 0]","[7, 7]"
9,5,"[107, 107]","[0, 0]","[6, 6]"
5,8,"[18, 18]","[0, 0]","[3, 3]"
24,9,"[3914940, 3914940]","[0, 0]","[7, 7]"
17,6,"[26181, 26181]","[0, 0]","[8, 8]"
19,9,"[114165, 114165]","[0, 0]","[6, 6]"
15,4,"[5582, 5582]","[0, 0]","[7, 7]"
15,5,"[5379, 5379]","[0, 0]","[6, 6]"
19,8,"[77135, 77135]","[0, 0]","[8, 8]"
18,10,"[58417, 58417]","[0, 0]","[6, 6]"
17,7,"[27186, 27186]","[0, 0]","[7, 7]"
14,10,"[4085, 4085]","[0, 0]","[6, 6]"
24,8,"[4400280, 4400280]","[0, 0]","[8, 8]"
11,1,"[180, 180]","[0, 0]","[1, 1]"
5,9,"[29, 29]","[0, 0]","[3, 3]"
9,4,"[155, 155]","[0, 0]","[5, 5]"
13,3,"[1181, 1181]","[0, 0]","[5, 5]"
7,9,"[46, 46]","[0, 0]","[5, 5]"
3,10,"[15, 15]","[0, 0]","[3, 3]"
13,1,"[783, 783]","[0, 0]","[2, 2]"
9,6,"[129, 129]","[0, 0]","[6, 6]"
11,3,"[386, 386]","[0, 0]","[6, 6]"
17,5,"[22513, 22513]","[0, 0]","[6, 6]"
15,7,"[6604, 6604]","[0, 0]","[6, 6]"
15,6,"[6473, 6473]","[0, 0]","[7, 7]"
17,4,"[25996, 25996]","[0, 0]","[7, 7]"
11,2,"[311, 311]","[0, 0]","[4, 4]"
9,7,"[109, 109]","[0, 0]","[5, 5]"
7,8,"[41, 41]","[0, 0]","[5, 5]"
13,4,"[1053, 1053]","[0, 0]","[6, 6]"
9,3,"[138, 138]","[0, 0]","[6, 6]"
11,6,"[490, 490]","[0, 0]","[5, 5]"
22,9,"[764034, 764034]","[0, 0]","[7, 7]"
3,8,"[17, 17]","[0, 0]","[3, 3]"
15,2,"[3494, 3494]","[0, 0]","[5, 5]"
1,10,"[23, 23]","[0, 0]","[1, 1]"
15,3,"[4191, 4191]","[0, 0]","[6, 6]"
3,9,"[27, 27]","[0, 0]","[3, 3]"
22,8,"[1004990, 1004990]","[0, 0]","[9, 9]"
17,1,"[16207, 16207]","[0, 0]","[3, 3]"
11,7,"[328, 328]","[0, 0]","[4, 4]"
9,2,"[93, 93]","[0, 0]","[5, 5]"
13,5,"[1696, 1696]","[0, 0]","[7, 7]"
13,7,"[1657, 1657]","[0, 0]","[5, 5]"
11,5,"[323, 323]","[0, 0]","[6, 6]"
17,3,"[19961, 19961]","[0, 0]","[6, 6]"
20,8,"[212908, 212908]","[0, 0]","[6, 6]"
15,1,"[3095, 3095]","[0, 0]","[1, 1]"
1,9,"[17, 17]","[0, 0]","[1, 1]"
20,10,"[184970, 184970]","[0, 0]","[9, 9]"
1,8,"[13, 13]","[0, 0]","[1, 1]"
20,9,"[155121, 155121]","[0, 0]","[7, 7]"
16,10,"[16579, 16579]","[0, 0]","[6, 6]"
17,2,"[12933, 12933]","[0, 0]","[7, 7]"
11,4,"[418, 418]","[0, 0]","[6, 6]"
9,1,"[52, 52]","[0, 0]","[1, 1]"
13,6,"[1763, 1763]","[0, 0]","[5, 5]"
14,7,"[3034, 3034]","[0, 0]","[6, 6]"
16,5,"[10597, 10597]","[0, 0]","[6, 6]"
10,3,"[179, 179]","[0, 0]","[5, 5]"
6,9,"[34, 34]","[0, 0]","[4, 4]"
12,1,"[260, 260]","[0, 0]","[1, 1]"
8,6,"[55, 55]","[0, 0]","[4, 4]"
8,7,"[57, 57]","[0, 0]","[5, 5]"
6,8,"[25, 25]","[0, 0]","[4, 4]"
10,2,"[184, 184]","[0, 0]","[6, 6]"
5,10,"[33, 33]","[0, 0]","[4, 4]"
9,10,"[115, 115]","[0, 0]","[3, 3]"
16,4,"[13621, 13621]","[0, 0]","[8, 8]"
14,6,"[3109, 3109]","[0, 0]","[5, 5]"
14,4,"[3173, 3173]","[0, 0]","[7, 7]"
16,6,"[10187, 10187]","[0, 0]","[6, 6]"
18,9,"[68473, 68473]","[0, 0]","[7, 7]"
4,8,"[17, 17]","[0, 0]","[2, 2]"
25,9,"[9312030, 9312030]","[0, 0]","[8, 8]"
12,2,"[490, 490]","[0, 0]","[5, 5]"
12,10,"[962, 962]","[0, 0]","[6, 6]"
8,5,"[67, 67]","[0, 0]","[6, 6]"
8,4,"[53, 53]","[0, 0]","[5, 5]"
12,3,"[670, 670]","[0, 0]","[5, 5]"
