movies,categories,run_time,screen_time,n_movies
25,1,"[1206350, 1571020]","[0, 0]","[4, 4]"
5,3,"[1232120, 1484490]","[0, 0]","[3, 3]"
13,9,"[1238690, 1470890]","[0, 0]","[6, 6]"
10,3,"[1221940, 1367910]","[0, 0]","[5, 5]"
3,10,"[1237320, 1401480]","[0, 0]","[3, 3]"
12,3,"[1240980, 1412030]","[0, 0]","[5, 5]"
4,7,"[1251550, 1419880]","[0, 0]","[3, 3]"
1,6,"[1255360, 1504680]","[0, 0]","[1, 1]"
17,6,"[1258250, 1416880]","[0, 0]","[8, 8]"
10,5,"[1234160, 1417240]","[0, 0]","[5, 5]"
10,4,"[1228690, 1403740]","[0, 0]","[6, 6]"
21,1,"[1234460, 1455980]","[0, 0]","[1, 1]"
15,7,"[1231370, 1465780]","[0, 0]","[6, 6]"
20,10,"[1338730, 1650590]","[0, 0]","[9, 9]"
15,3,"[1297600, 1732740]","[0, 0]","[6, 6]"
19,10,"[1183160, 1408530]","[0, 0]","[7, 7]"
2,3,"[1133110, 1557470]","[0, 0]","[1, 1]"
8,4,"[1277080, 1547350]","[0, 0]","[5, 5]"
11,9,"[1221900, 1554480]","[0, 0]","[5, 5]"
11,1,"[1265220, 1522770]","[0, 0]","[1, 1]"
25,6,"[1242890, 1393270]","[0, 0]","[9, 9]"
21,3,"[1278620, 1518980]","[0, 0]","[7, 7]"
17,1,"[1283360, 1472700]","[0, 0]","[3, 3]"
24,8,"[1332170, 1476490]","[0, 0]","[8, 8]"
7,3,"[1250620, 1512610]","[0, 0]","[3, 3]"
16,4,"[1294090, 1423940]","[0, 0]","[8, 8]"
21,4,"[1270720, 1466200]","[0, 0]","[9, 9]"
20,4,"[1298590, 1457820]","[0, 0]","[7, 7]"
11,10,"[1309650, 1460370]","[0, 0]","[6, 6]"
9,10,"[1297720, 1604420]","[0, 0]","[3, 3]"
23,3,"[1302790, 1676420]","[0, 0]","[7, 7]"
25,8,"[1282210, 1557690]","[0, 0]","[9, 9]"
24,1,"[1207240, 1538270]","[0, 0]","[4, 4]"
21,9,"[1402520, 1552850]","[0, 0]","[6, 6]"
24,5,"[1322560, 1503650]","[0, 0]","[7, 7]"
24,2,"[1191320, 1405730]","[0, 0]","[6, 6]"
8,6,"[1230980, 1434030]","[0, 0]","[4, 4]"
6,3,"[1320520, 1482110]","[0, 0]","[2, 2]"
24,6,"[1328340, 1477500]","[0, 0]","[7, 7]"
23,8,"[1355850, 1451530]","[0, 0]","[9, 9]"
14,6,"[1273640, 1522840]","[0, 0]","[5, 5]"
10,7,"[1160290, 1445700]","[0, 0]","[6, 6]"
11,7,"[1194710, 1449340]","[0, 0]","[4, 4]"
4,4,"[1230130, 1377000]","[0, 0]","[2, 2]"
14,2,"[1297520, 1481350]","[0, 0]","[3, 3]"
24,4,"[1263720, 1536210]","[0, 0]","[7, 7]"
1,5,"[1230740, 1591420]","[0, 0]","[1, 1]"
18,2,"[1263250, 1535110]","[0, 0]","[5, 5]"
22,8,"[1247970, 1609480]","[0, 0]","[9, 9]"
11,4,"[1276920, 1519070]","[0, 0]","[6, 6]"
6,2,"[1341980, 1548470]","[0, 0]","[4, 4]"
18,10,"[1290460, 1415370]","[0, 0]","[6, 6]"
13,8,"[1270210, 1483540]","[0, 0]","[4, 4]"
22,10,"[1356770, 1497020]","[0, 0]","[6, 6]"
14,4,"[1218950, 1470400]","[0, 0]","[7, 7]"
12,8,"[1206810, 1419400]","[0, 0]","[7, 7]"
10,2,"[1271690, 1412560]","[0, 0]","[6, 6]"
24,9,"[1302880, 1420560]","[0, 0]","[7, 7]"
14,7,"[1308300, 1475320]","[0, 0]","[6, 6]"
18,1,"[1294670, 1451680]","[0, 0]","[1, 1]"
19,7,"[1263180, 1447650]","[0, 0]","[7, 7]"
13,5,"[1263920, 1505420]","[0, 0]","[7, 7]"
22,5,"[1320550, 1632950]","[0, 0]","[8, 8]"
8,9,"[1215890, 1396760]","[0, 0]","[5, 5]"
1,8,"[1267520, 1515980]","[0, 0]","[1, 1]"
9,7,"[1266290, 1484740]","[0, 0]","[5, 5]"
12,5,"[1256890, 1453900]","[0, 0]","[5, 5]"
22,1,"[1333000, 1480310]","[0, 0]","[4, 4]"
11,5,"[1273550, 1421170]","[0, 0]","[6, 6]"
9,4,"[1270430, 1473980]","[0, 0]","[5, 5]"
18,5,"[1286180, 1490380]","[0, 0]","[8, 8]"
7,5,"[1241860, 1430100]","[0, 0]","[5, 5]"
7,8,"[1333480, 1493200]","[0, 0]","[5, 5]"
4,1,"[1299590, 1444980]","[0, 0]","[2, 2]"
16,5,"[1224190, 1583880]","[0, 0]","[6, 6]"
4,3,"[1352600, 1553850]","[0, 0]","[3, 3]"
11,8,"[1227960, 1504830]","[0, 0]","[5, 5]"
23,7,"[1228660, 1410870]","[0, 0]","[7, 7]"
8,8,"[1307810, 1440270]","[0, 0]","[6, 6]"
6,10,"[1263390, 1461300]","[0, 0]","[5, 5]"
2,7,"[1311100, 1498780]","[0, 0]","[2, 2]"
5,8,"[1246710, 1502730]","[0, 0]","[3, 3]"
4,5,"[1250920, 1467070]","[0, 0]","[2, 2]"
18,7,"[1292140, 1494200]","[0, 0]","[6, 6]"
19,1,"[1297290, 1428270]","[0, 0]","[1, 1]"
2,1,"[1248020, 1491240]","[0, 0]","[2, 2]"
3,9,"[1205440, 1458930]","[0, 0]","[3, 3]"
17,9,"[1206390, 1383280]","[0, 0]","[5, 5]"
16,6,"[1372390, 1506740]","[0, 0]","[6, 6]"
15,5,"[1288170, 1462540]","[0, 0]","[6, 6]"
25,7,"[1272490, 1614200]","[0, 0]","[9, 9]"
12,7,"[1350600, 1550460]","[0, 0]","[6, 6]"
21,10,"[1277020, 1517400]","[0, 0]","[6, 6]"
4,10,"[1253670, 1430230]","[0, 0]","[2, 2]"
15,9,"[1298820, 1464330]","[0, 0]","[5, 5]"
5,6,"[1304460, 1463970]","[0, 0]","[5, 5]"
2,5,"[1230250, 1470720]","[0, 0]","[2, 2]"
14,1,"[1259500, 1405980]","[0, 0]","[1, 1]"
15,1,"[1262640, 1416830]","[0, 0]","[1, 1]"
23,1,"[1315380, 1435540]","[0, 0]","[2, 2]"
12,2,"[1230800, 1442570]","[0, 0]","[5, 5]"
3,6,"[1295420, 1490860]","[0, 0]","[2, 2]"
13,10,"[1274370, 1486420]","[0, 0]","[6, 6]"
11,3,"[1152010, 1424440]","[0, 0]","[6, 6]"
20,9,"[1247490, 1402420]","[0, 0]","[7, 7]"
12,1,"[1335470, 1462370]","[0, 0]","[1, 1]"
5,10,"[1281720, 1560590]","[0, 0]","[4, 4]"
1,10,"[1238980, 1537120]","[0, 0]","[1, 1]"
22,6,"[1254690, 1501060]","[0, 0]","[10, 10]"
13,4,"[1217050, 1454270]","[0, 0]","[6, 6]"
6,5,"[1235610, 1427380]","[0, 0]","[4, 4]"
17,8,"[1229700, 1436910]","[0, 0]","[7, 7]"
