movies,categories,run_time,screen_time,n_movies
25,1,"[4657, 100622]","[0, 0]","[4, 4]"
5,3,"[100414, 206200]","[0, 0]","[3, 3]"
13,9,"[100390, 100640]","[0, 0]","[6, 6]"
10,3,"[100487, 105789]","[0, 0]","[5, 5]"
3,10,"[100507, 115305]","[0, 0]","[3, 3]"
12,3,"[100442, 100700]","[0, 0]","[5, 5]"
4,7,"[100470, 116106]","[0, 0]","[3, 3]"
1,6,"[100514, 120192]","[0, 0]","[1, 1]"
17,6,"[100424, 105246]","[0, 0]","[8, 8]"
10,5,"[100431, 100645]","[0, 0]","[5, 5]"
10,4,"[100480, 104143]","[0, 0]","[6, 6]"
21,1,"[100426, 153292]","[0, 0]","[1, 1]"
15,7,"[100539, 100734]","[0, 0]","[6, 6]"
20,10,"[100489, 101113]","[0, 0]","[9, 9]"
15,3,"[100414, 100815]","[0, 0]","[6, 6]"
19,10,"[100451, 100769]","[0, 0]","[7, 7]"
2,3,"[28, 128433]","[0, 0]","[1, 1]"
8,4,"[100418, 154990]","[0, 0]","[5, 5]"
11,9,"[100458, 100629]","[0, 0]","[5, 5]"
11,1,"[100476, 100759]","[0, 0]","[1, 1]"
25,6,"[100489, 100607]","[0, 0]","[9, 9]"
21,3,"[100463, 100619]","[0, 0]","[7, 7]"
17,1,"[100503, 100607]","[0, 0]","[3, 3]"
24,8,"[100544, 108708]","[0, 0]","[8, 8]"
7,3,"[100480, 100665]","[0, 0]","[3, 3]"
16,4,"[100410, 100679]","[0, 0]","[8, 8]"
21,4,"[100404, 105385]","[0, 0]","[9, 9]"
20,4,"[100459, 100640]","[0, 0]","[7, 7]"
11,10,"[100504, 100626]","[0, 0]","[6, 6]"
9,10,"[100401, 131889]","[0, 0]","[3, 3]"
23,3,"[100467, 100603]","[0, 0]","[7, 7]"
25,8,"[100462, 105053]","[0, 0]","[9, 9]"
24,1,"[2899, 100583]","[0, 0]","[4, 4]"
21,9,"[100454, 100907]","[0, 0]","[6, 6]"
24,5,"[100439, 100710]","[0, 0]","[7, 7]"
24,2,"[100435, 100682]","[0, 0]","[6, 6]"
8,6,"[100484, 105047]","[0, 0]","[4, 4]"
6,3,"[100510, 104682]","[0, 0]","[2, 2]"
24,6,"[100444, 100836]","[0, 0]","[7, 7]"
23,8,"[100504, 102790]","[0, 0]","[9, 9]"
14,6,"[100495, 100613]","[0, 0]","[5, 5]"
10,7,"[100471, 100683]","[0, 0]","[6, 6]"
11,7,"[100411, 101802]","[0, 0]","[4, 4]"
4,4,"[100480, 150468]","[0, 0]","[2, 2]"
14,2,"[100521, 100645]","[0, 0]","[3, 3]"
24,4,"[100491, 100627]","[0, 0]","[7, 7]"
1,5,"[100403, 127548]","[0, 0]","[1, 1]"
18,2,"[100554, 100722]","[0, 0]","[5, 5]"
22,8,"[1135, 100636]","[0, 0]","[9, 9]"
11,4,"[100446, 100685]","[0, 0]","[6, 6]"
6,2,"[100524, 111935]","[0, 0]","[4, 4]"
18,10,"[100442, 100797]","[0, 0]","[6, 6]"
13,8,"[100433, 100684]","[0, 0]","[4, 4]"
22,10,"[100502, 101101]","[0, 0]","[6, 6]"
14,4,"[100492, 104043]","[0, 0]","[7, 7]"
12,8,"[100516, 106690]","[0, 0]","[7, 7]"
10,2,"[100560, 219514]","[0, 0]","[6, 6]"
24,9,"[100424, 100652]","[0, 0]","[7, 7]"
14,7,"[100400, 106051]","[0, 0]","[6, 6]"
18,1,"[100395, 100654]","[0, 0]","[1, 1]"
19,7,"[100445, 100661]","[0, 0]","[7, 7]"
13,5,"[100503, 100710]","[0, 0]","[7, 7]"
22,5,"[100487, 100587]","[0, 0]","[8, 8]"
8,9,"[100399, 106003]","[0, 0]","[5, 5]"
1,8,"[100500, 105404]","[0, 0]","[1, 1]"
9,7,"[100432, 100681]","[0, 0]","[5, 5]"
12,5,"[100530, 100681]","[0, 0]","[5, 5]"
22,1,"[100479, 102726]","[0, 0]","[4, 4]"
11,5,"[100438, 102976]","[0, 0]","[6, 6]"
9,4,"[100487, 100721]","[0, 0]","[5, 5]"
18,5,"[100527, 103210]","[0, 0]","[8, 8]"
7,5,"[100412, 101509]","[0, 0]","[5, 5]"
7,8,"[100440, 104336]","[0, 0]","[5, 5]"
4,1,"[100542, 128097]","[0, 0]","[2, 2]"
16,5,"[100504, 161447]","[0, 0]","[6, 6]"
4,3,"[100448, 204512]","[0, 0]","[3, 3]"
11,8,"[100550, 100695]","[0, 0]","[5, 5]"
23,7,"[100457, 101239]","[0, 0]","[7, 7]"
8,8,"[100441, 101060]","[0, 0]","[6, 6]"
6,10,"[100430, 120708]","[0, 0]","[5, 5]"
2,7,"[100427, 100666]","[0, 0]","[2, 2]"
5,8,"[100510, 100668]","[0, 0]","[3, 3]"
4,5,"[100538, 106254]","[0, 0]","[2, 2]"
18,7,"[100489, 103601]","[0, 0]","[6, 6]"
19,1,"[100367, 102990]","[0, 0]","[1, 1]"
2,1,"[100438, 106236]","[0, 0]","[2, 2]"
3,9,"[100542, 100764]","[0, 0]","[3, 3]"
17,9,"[100437, 109267]","[0, 0]","[5, 5]"
16,6,"[100504, 189174]","[0, 0]","[6, 6]"
15,5,"[100495, 100668]","[0, 0]","[6, 6]"
25,7,"[100482, 100635]","[0, 0]","[9, 9]"
12,7,"[100496, 100647]","[0, 0]","[6, 6]"
21,10,"[100512, 100647]","[0, 0]","[6, 6]"
4,10,"[100508, 100667]","[0, 0]","[2, 2]"
15,9,"[100434, 100980]","[0, 0]","[5, 5]"
5,6,"[100499, 100694]","[0, 0]","[5, 5]"
2,5,"[100409, 100654]","[0, 0]","[2, 2]"
14,1,"[100527, 100695]","[0, 0]","[1, 1]"
