movies,categories,run_time,screen_time,n_movies
22,10,"[338098, 338098]","[0, 0]","[6, 6]"
13,2,"[799, 799]","[0, 0]","[7, 7]"
9,5,"[494, 494]","[0, 0]","[6, 6]"
5,8,"[393, 393]","[0, 0]","[3, 3]"
24,9,"[1525910, 1525910]","[0, 0]","[7, 7]"
17,6,"[29568, 29568]","[0, 0]","[8, 8]"
19,9,"[39371, 39371]","[0, 0]","[6, 6]"
15,4,"[1997, 1997]","[0, 0]","[7, 7]"
15,5,"[1852, 1852]","[0, 0]","[6, 6]"
19,8,"[33701, 33701]","[0, 0]","[8, 8]"
18,10,"[22724, 22724]","[0, 0]","[6, 6]"
17,7,"[8276, 8276]","[0, 0]","[7, 7]"
14,10,"[1445, 1445]","[0, 0]","[6, 6]"
24,8,"[2231860, 2231860]","[0, 0]","[8, 8]"
11,1,"[698, 698]","[0, 0]","[1, 1]"
5,9,"[713, 713]","[0, 0]","[3, 3]"
9,4,"[507, 507]","[0, 0]","[5, 5]"
13,3,"[5171, 5171]","[0, 0]","[5, 5]"
7,9,"[24775, 24775]","[0, 0]","[5, 5]"
3,10,"[568, 568]","[0, 0]","[3, 3]"
13,1,"[1513, 1513]","[0, 0]","[2, 2]"
9,6,"[381, 381]","[0, 0]","[6, 6]"
11,3,"[582, 582]","[0, 0]","[6, 6]"
17,5,"[6273, 6273]","[0, 0]","[6, 6]"
15,7,"[2264, 2264]","[0, 0]","[6, 6]"
15,6,"[5010, 5010]","[0, 0]","[7, 7]"
17,4,"[12414, 12414]","[0, 0]","[7, 7]"
11,2,"[28509, 28509]","[0, 0]","[4, 4]"
9,7,"[264, 264]","[0, 0]","[5, 5]"
7,8,"[566, 566]","[0, 0]","[5, 5]"
13,4,"[560, 560]","[0, 0]","[6, 6]"
9,3,"[641, 641]","[0, 0]","[6, 6]"
11,6,"[47423, 47423]","[0, 0]","[5, 5]"
22,9,"[244705, 244705]","[0, 0]","[7, 7]"
3,8,"[426, 426]","[0, 0]","[3, 3]"
15,2,"[1866, 1866]","[0, 0]","[5, 5]"
1,10,"[451, 451]","[0, 0]","[1, 1]"
15,3,"[4553, 4553]","[0, 0]","[6, 6]"
3,9,"[557, 557]","[0, 0]","[3, 3]"
22,8,"[397759, 397759]","[0, 0]","[9, 9]"
17,1,"[14577, 14577]","[0, 0]","[3, 3]"
11,7,"[358, 358]","[0, 0]","[4, 4]"
9,2,"[290, 290]","[0, 0]","[5, 5]"
13,5,"[6939, 6939]","[0, 0]","[7, 7]"
13,7,"[1569, 1569]","[0, 0]","[5, 5]"
