movies,categories,run_time,total_comb,tested_comb
25,1,"[3512210, 3512210]","[33554400, 33554400]","[33554400, 33554400]"
26,8,"[3615540, 3615540]","[67108900, 67108900]","[67108900, 67108900]"
29,5,"[3710530, 3710530]","[536871000, 536871000]","[536871000, 536871000]"
29,8,"[30, 30]","[536870912, 536870912]","[536870912, 536870912]"
21,1,"[3481690, 3481690]","[2097150, 2097150]","[2097150, 2097150]"
20,10,"[3540300, 3540300]","[1048580, 1048580]","[1048580, 1048580]"
25,6,"[3569960, 3569960]","[33554400, 33554400]","[33554400, 33554400]"
21,3,"[3536890, 3536890]","[2097150, 2097150]","[2097150, 2097150]"
24,8,"[3499770, 3499770]","[16777200, 16777200]","[16777200, 16777200]"
29,10,"[30, 30]","[536870912, 536870912]","[536870912, 536870912]"
21,4,"[2960850, 2960850]","[2097150, 2097150]","[2097150, 2097150]"
27,8,"[3444780, 3444780]","[134218000, 134218000]","[134218000, 134218000]"
20,4,"[3523310, 3523310]","[1048580, 1048580]","[1048580, 1048580]"
23,3,"[3558730, 3558730]","[8388610, 8388610]","[8388610, 8388610]"
28,8,"[3566470, 3566470]","[268435000, 268435000]","[268435000, 268435000]"
25,8,"[3494200, 3494200]","[33554400, 33554400]","[33554400, 33554400]"
26,9,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
28,1,"[2964800, 2964800]","[268435000, 268435000]","[268435000, 268435000]"
24,1,"[3445600, 3445600]","[16777200, 16777200]","[16777200, 16777200]"
21,9,"[3527900, 3527900]","[2097150, 2097150]","[2097150, 2097150]"
24,5,"[3563310, 3563310]","[16777200, 16777200]","[16777200, 16777200]"
24,2,"[3536330, 3536330]","[16777200, 16777200]","[16777200, 16777200]"
26,1,"[3489790, 3489790]","[67108900, 67108900]","[67108900, 67108900]"
24,6,"[3504840, 3504840]","[16777200, 16777200]","[16777200, 16777200]"
23,8,"[3034490, 3034490]","[8388610, 8388610]","[8388610, 8388610]"
24,4,"[2792290, 2792290]","[16777200, 16777200]","[16777200, 16777200]"
22,8,"[3308690, 3308690]","[4194300, 4194300]","[4194300, 4194300]"
