movies,categories,run_time,total_comb,tested_comb
22,10,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
45,8,"[30, 30]","[35184372088832, 35184372088832]","[137432120, 137432120]"
35,1,"[30, 30]","[34359738368, 34359738368]","[360887712, 360887712]"
28,4,"[30, 30]","[268435456, 268435456]","[170469981, 170469981]"
37,3,"[30, 30]","[137438953472, 137438953472]","[211915149, 211915149]"
24,9,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
41,10,"[30, 30]","[2199023255552, 2199023255552]","[100188608, 100188608]"
49,5,"[30, 30]","[562949953421312, 562949953421312]","[126851783, 126851783]"
30,10,"[30, 30]","[1073741824, 1073741824]","[102523580, 102523580]"
31,5,"[30, 30]","[2147483648, 2147483648]","[113350879, 113350879]"
50,4,"[30, 30]","[1125899906842624, 1125899906842624]","[136145726, 136145726]"
33,7,"[30, 30]","[8589934592, 8589934592]","[135610556, 135610556]"
33,6,"[30, 30]","[8589934592, 8589934592]","[161183367, 161183367]"
50,5,"[30, 30]","[1125899906842624, 1125899906842624]","[112230700, 112230700]"
31,4,"[30, 30]","[2147483648, 2147483648]","[172707009, 172707009]"
49,4,"[30, 30]","[562949953421312, 562949953421312]","[190289821, 190289821]"
24,8,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
37,2,"[30, 30]","[137438953472, 137438953472]","[169846409, 169846409]"
28,5,"[30, 30]","[268435456, 268435456]","[129653068, 129653068]"
45,9,"[30, 30]","[35184372088832, 35184372088832]","[102464243, 102464243]"
26,8,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
35,2,"[30, 30]","[34359738368, 34359738368]","[174625603, 174625603]"
28,7,"[30, 30]","[268435456, 268435456]","[115072195, 115072195]"
47,9,"[30, 30]","[140737488355328, 140737488355328]","[123306855, 123306855]"
49,6,"[30, 30]","[562949953421312, 562949953421312]","[117520797, 117520797]"
31,6,"[30, 30]","[2147483648, 2147483648]","[149164069, 149164069]"
33,4,"[30, 30]","[8589934592, 8589934592]","[210838883, 210838883]"
50,7,"[30, 30]","[1125899906842624, 1125899906842624]","[121018193, 121018193]"
50,6,"[30, 30]","[1125899906842624, 1125899906842624]","[138312235, 138312235]"
33,5,"[30, 30]","[8589934592, 8589934592]","[146082410, 146082410]"
31,7,"[30, 30]","[2147483648, 2147483648]","[124845828, 124845828]"
49,7,"[30, 30]","[562949953421312, 562949953421312]","[129734717, 129734717]"
47,8,"[30, 30]","[140737488355328, 140737488355328]","[117635856, 117635856]"
37,1,"[30, 30]","[137438953472, 137438953472]","[247878393, 247878393]"
28,6,"[30, 30]","[268435456, 268435456]","[154531851, 154531851]"
35,3,"[30, 30]","[34359738368, 34359738368]","[173661407, 173661407]"
26,9,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
35,7,"[30, 30]","[34359738368, 34359738368]","[129702479, 129702479]"
28,2,"[30, 30]","[268435456, 268435456]","[174792219, 174792219]"
37,5,"[30, 30]","[137438953472, 137438953472]","[151139941, 151139941]"
49,3,"[30, 30]","[562949953421312, 562949953421312]","[158977971, 158977971]"
31,3,"[30, 30]","[2147483648, 2147483648]","[151218508, 151218508]"
22,9,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
43,8,"[30, 30]","[8796093022208, 8796093022208]","[94642138, 94642138]"
33,1,"[30, 30]","[8589934592, 8589934592]","[354438209, 354438209]"
50,2,"[30, 30]","[1125899906842624, 1125899906842624]","[170198829, 170198829]"
50,3,"[30, 30]","[1125899906842624, 1125899906842624]","[175903616, 175903616]"
43,9,"[30, 30]","[8796093022208, 8796093022208]","[131315907, 131315907]"
22,8,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
31,2,"[30, 30]","[2147483648, 2147483648]","[126550332, 126550332]"
49,2,"[30, 30]","[562949953421312, 562949953421312]","[163073172, 163073172]"
37,4,"[30, 30]","[137438953472, 137438953472]","[145111380, 145111380]"
28,3,"[30, 30]","[268435456, 268435456]","[211101252, 211101252]"
35,6,"[30, 30]","[34359738368, 34359738368]","[121903406, 121903406]"
35,4,"[30, 30]","[34359738368, 34359738368]","[159169654, 159169654]"
28,1,"[30, 30]","[268435456, 268435456]","[242336167, 242336167]"
37,6,"[30, 30]","[137438953472, 137438953472]","[154698059, 154698059]"
32,10,"[30, 30]","[4294967296, 4294967296]","[121235310, 121235310]"
39,9,"[30, 30]","[549755813888, 549755813888]","[131363847, 131363847]"
41,9,"[30, 30]","[2199023255552, 2199023255552]","[126702766, 126702766]"
43,10,"[30, 30]","[8796093022208, 8796093022208]","[156707905, 156707905]"
50,1,"[30, 30]","[1125899906842624, 1125899906842624]","[175727832, 175727832]"
20,8,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
33,2,"[30, 30]","[8589934592, 8589934592]","[127495917, 127495917]"
20,10,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
33,3,"[30, 30]","[8589934592, 8589934592]","[161303846, 161303846]"
20,9,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
41,8,"[30, 30]","[2199023255552, 2199023255552]","[124781857, 124781857]"
31,1,"[30, 30]","[2147483648, 2147483648]","[236100104, 236100104]"
39,8,"[30, 30]","[549755813888, 549755813888]","[124573503, 124573503]"
49,1,"[30, 30]","[562949953421312, 562949953421312]","[241819958, 241819958]"
37,7,"[30, 30]","[137438953472, 137438953472]","[159965677, 159965677]"
35,5,"[30, 30]","[34359738368, 34359738368]","[154814691, 154814691]"
32,4,"[30, 30]","[4294967296, 4294967296]","[135652558, 135652558]"
30,6,"[30, 30]","[1073741824, 1073741824]","[127375385, 127375385]"
46,9,"[30, 30]","[70368744177664, 70368744177664]","[106759895, 106759895]"
48,6,"[30, 30]","[281474976710656, 281474976710656]","[159932483, 159932483]"
27,8,"[30, 30]","[134217728, 134217728]","[121548577, 121548577]"
34,2,"[30, 30]","[17179869184, 17179869184]","[193998943, 193998943]"
29,7,"[30, 30]","[536870912, 536870912]","[110458383, 110458383]"
29,6,"[30, 30]","[536870912, 536870912]","[123594214, 123594214]"
34,3,"[30, 30]","[17179869184, 17179869184]","[131906170, 131906170]"
27,9,"[30, 30]","[134217728, 134217728]","[107886727, 107886727]"
48,7,"[30, 30]","[281474976710656, 281474976710656]","[148661019, 148661019]"
36,1,"[30, 30]","[68719476736, 68719476736]","[191121042, 191121042]"
46,8,"[30, 30]","[70368744177664, 70368744177664]","[106523880, 106523880]"
30,7,"[30, 30]","[1073741824, 1073741824]","[146873238, 146873238]"
32,5,"[30, 30]","[4294967296, 4294967296]","[116252069, 116252069]"
32,7,"[30, 30]","[4294967296, 4294967296]","[142266964, 142266964]"
30,5,"[30, 30]","[1073741824, 1073741824]","[121566502, 121566502]"
36,3,"[30, 30]","[68719476736, 68719476736]","[187437445, 187437445]"
25,9,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
48,5,"[30, 30]","[281474976710656, 281474976710656]","[150975367, 150975367]"
34,1,"[30, 30]","[17179869184, 17179869184]","[162629573, 162629573]"
44,8,"[30, 30]","[17592186044416, 17592186044416]","[105009223, 105009223]"
29,4,"[30, 30]","[536870912, 536870912]","[162063635, 162063635]"
47,10,"[30, 30]","[140737488355328, 140737488355328]","[95522716, 95522716]"
29,5,"[30, 30]","[536870912, 536870912]","[153008625, 153008625]"
44,9,"[30, 30]","[17592186044416, 17592186044416]","[103625578, 103625578]"
48,4,"[30, 30]","[281474976710656, 281474976710656]","[185916098, 185916098]"
25,8,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
36,2,"[30, 30]","[68719476736, 68719476736]","[155882645, 155882645]"
24,10,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
30,4,"[30, 30]","[1073741824, 1073741824]","[161897278, 161897278]"
28,10,"[30, 30]","[268435456, 268435456]","[120340988, 120340988]"
32,6,"[30, 30]","[4294967296, 4294967296]","[138082642, 138082642]"
36,10,"[30, 30]","[68719476736, 68719476736]","[125173407, 125173407]"
21,8,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
32,2,"[30, 30]","[4294967296, 4294967296]","[140826580, 140826580]"
40,9,"[30, 30]","[1099511627776, 1099511627776]","[113356108, 113356108]"
36,6,"[30, 30]","[68719476736, 68719476736]","[107678812, 107678812]"
38,9,"[30, 30]","[274877906944, 274877906944]","[107550121, 107550121]"
34,4,"[30, 30]","[17179869184, 17179869184]","[129829447, 129829447]"
29,1,"[30, 30]","[536870912, 536870912]","[166143686, 166143686]"
49,10,"[30, 30]","[562949953421312, 562949953421312]","[115182937, 115182937]"
34,10,"[30, 30]","[17179869184, 17179869184]","[104937477, 104937477]"
34,5,"[30, 30]","[17179869184, 17179869184]","[213106109, 213106109]"
48,1,"[30, 30]","[281474976710656, 281474976710656]","[126674569, 126674569]"
38,8,"[30, 30]","[274877906944, 274877906944]","[121654150, 121654150]"
36,7,"[30, 30]","[68719476736, 68719476736]","[124789963, 124789963]"
26,10,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
30,1,"[30, 30]","[1073741824, 1073741824]","[202023340, 202023340]"
40,8,"[30, 30]","[1099511627776, 1099511627776]","[132100888, 132100888]"
45,10,"[30, 30]","[35184372088832, 35184372088832]","[123491338, 123491338]"
38,10,"[30, 30]","[274877906944, 274877906944]","[120297416, 120297416]"
32,3,"[30, 30]","[4294967296, 4294967296]","[239977384, 239977384]"
21,9,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
32,1,"[30, 30]","[4294967296, 4294967296]","[192146988, 192146988]"
42,8,"[30, 30]","[4398046511104, 4398046511104]","[136066589, 136066589]"
30,3,"[30, 30]","[1073741824, 1073741824]","[161092172, 161092172]"
23,9,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
36,5,"[30, 30]","[68719476736, 68719476736]","[124283918, 124283918]"
48,3,"[30, 30]","[281474976710656, 281474976710656]","[153009869, 153009869]"
34,7,"[30, 30]","[17179869184, 17179869184]","[137453548, 137453548]"
29,2,"[30, 30]","[536870912, 536870912]","[191954965, 191954965]"
29,3,"[30, 30]","[536870912, 536870912]","[152922775, 152922775]"
34,6,"[30, 30]","[17179869184, 17179869184]","[155893163, 155893163]"
48,2,"[30, 30]","[281474976710656, 281474976710656]","[213483217, 213483217]"
36,4,"[30, 30]","[68719476736, 68719476736]","[150135466, 150135466]"
23,8,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
30,2,"[30, 30]","[1073741824, 1073741824]","[221367146, 221367146]"
42,9,"[30, 30]","[4398046511104, 4398046511104]","[114110471, 114110471]"
21,7,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
42,4,"[30, 30]","[4398046511104, 4398046511104]","[133468955, 133468955]"
23,5,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
40,6,"[30, 30]","[1099511627776, 1099511627776]","[128018570, 128018570]"
36,9,"[30, 30]","[68719476736, 68719476736]","[145958890, 145958890]"
25,3,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
38,6,"[30, 30]","[274877906944, 274877906944]","[136989378, 136989378]"
44,2,"[30, 30]","[17592186044416, 17592186044416]","[225633478, 225633478]"
27,1,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
44,3,"[30, 30]","[17592186044416, 17592186044416]","[159398660, 159398660]"
38,7,"[30, 30]","[274877906944, 274877906944]","[136839955, 136839955]"
25,2,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
46,1,"[30, 30]","[70368744177664, 70368744177664]","[344972509, 344972509]"
36,8,"[30, 30]","[68719476736, 68719476736]","[141461734, 141461734]"
40,7,"[30, 30]","[1099511627776, 1099511627776]","[122533899, 122533899]"
23,4,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
42,5,"[30, 30]","[4398046511104, 4398046511104]","[139846902, 139846902]"
21,6,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
42,7,"[30, 30]","[4398046511104, 4398046511104]","[142017406, 142017406]"
21,4,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
40,5,"[30, 30]","[1099511627776, 1099511627776]","[114922300, 114922300]"
23,6,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
46,3,"[30, 30]","[70368744177664, 70368744177664]","[169204869, 169204869]"
38,5,"[30, 30]","[274877906944, 274877906944]","[103582383, 103582383]"
27,2,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
44,1,"[30, 30]","[17592186044416, 17592186044416]","[241348483, 241348483]"
34,8,"[30, 30]","[17179869184, 17179869184]","[109340888, 109340888]"
40,10,"[30, 30]","[1099511627776, 1099511627776]","[116111116, 116111116]"
34,9,"[30, 30]","[17179869184, 17179869184]","[120178961, 120178961]"
27,3,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
38,4,"[30, 30]","[274877906944, 274877906944]","[236428770, 236428770]"
23,10,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
46,2,"[30, 30]","[70368744177664, 70368744177664]","[168960086, 168960086]"
25,1,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
23,7,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
40,4,"[30, 30]","[1099511627776, 1099511627776]","[119111908, 119111908]"
